Date,SP500
9498,0
9529,-0.0385
9557,-0.0575
9588,0.0253
9618,0.0179
9649,0.0457
9679,0.0479
9710,0.0248
9741,0.0252
9771,-0.0284
9802,0.0347
9832,0.0196
9863,-0.0193
9894,0.0537
9922,0.0087
9953,0.0201
9983,0.0607
10014,-0.0067
10044,0.067
10075,0.0515
10106,0.045
10136,-0.0502
10167,0.0721
10197,0.0279
10228,-0.004
10259,-0.0125
10288,0.1101
10319,0.0345
10349,0.0197
10380,-0.0385
10410,0.0141
10441,0.0803
10472,0.0259
10502,0.0168
10533,0.1292
10563,0.0049
10594,0.0583
10625,-0.0019
10653,-0.0012
10684,0.0176
10714,-0.0362
10745,0.114
10775,0.0471
10806,0.1028
10837,-0.0476
10867,-0.1973
10898,-0.1246
10928,0.0282
10959,0.0639
10990,0.0259
11018,0.0812
11049,-0.008
11079,-0.0096
11110,-0.1625
11140,0.0386
11171,0.0141
11202,-0.1282
11232,-0.0855
11263,-0.0089
11293,-0.0706
11324,0.0502
11355,0.1193
11383,-0.0675
11414,-0.0935
11444,-0.1279
11475,0.1421
11505,-0.0722
11536,0.0182
11567,-0.2973
11597,0.0896
11628,-0.0798
11658,-0.14
11689,-0.0271
11720,0.057
11749,-0.1158
11780,-0.1997
11810,-0.2196
11841,-0.0022
11871,0.3815
11902,0.3869
11933,-0.0346
11963,-0.1349
11994,-0.0417
12024,0.0565
12055,0.0087
12086,-0.1772
12114,0.0353
12145,0.4256
12175,0.1683
12206,0.1338
12236,-0.0862
12267,0.1206
12298,-0.1118
12328,-0.0855
12359,0.1127
12389,0.0253
12420,0.1069
12451,-0.0322
12479,0
12510,-0.0251
12540,-0.0736
12571,0.0229
12601,-0.1131
12632,0.0611
12663,-0.0033
12693,-0.0286
12724,0.0942
12754,-0.001
12785,-0.0411
12816,-0.0341
12844,-0.0286
12875,0.098
12905,0.0409
12936,0.0699
12966,0.085
12997,0.028
13028,0.0256
13058,0.0777
13089,0.0474
13119,0.0394
13150,0.067
13181,0.0224
13210,0.0268
13241,-0.0751
13271,0.0545
13302,0.0333
13332,0.0701
13363,0.0151
13394,0.0031
13424,0.0775
13455,0.0134
13485,-0.0029
13516,0.039
13547,0.0191
13575,-0.0077
13606,-0.0809
13636,-0.0024
13667,-0.0504
13697,0.1045
13728,-0.0483
13759,-0.1403
13789,-0.0981
13820,-0.0866
13850,-0.0459
13881,0.0152
13912,0.0674
13940,-0.2487
13971,0.1447
14001,-0.033
14032,0.2503
14062,0.0744
14093,-0.0226
14124,0.0166
14154,0.0776
14185,-0.0273
14215,0.0401
14246,-0.0674
14277,0.039
14305,-0.1339
14336,-0.0027
14366,0.0733
14397,-0.0612
14427,0.1105
14458,-0.0648
14489,0.1673
14519,-0.0123
14550,-0.0398
14580,0.027
14611,-0.0336
14642,0.0133
14671,0.0124
14702,-0.0024
14732,-0.2289
14763,0.0809
14793,0.0341
14824,0.035
14855,0.0123
14885,0.0422
14916,-0.0316
14946,0.0009
14977,-0.0463
15008,-0.006
15036,0.0071
15067,-0.0612
15097,0.0183
15128,0.0578
15158,0.0579
15189,0.001
15220,-0.0068
15250,-0.0657
15281,-0.0284
15311,-0.0407
15342,0.0161
15373,-0.0159
15401,-0.0652
15432,-0.04
15462,0.0796
15493,0.0221
15523,0.0337
15554,0.0164
15585,0.029
15615,0.0678
15646,-0.0021
15676,0.0549
15707,0.0737
15738,0.0583
15766,0.0545
15797,0.0035
15827,0.0552
15858,0.0223
15888,-0.0526
15919,0.0171
15950,0.0263
15980,-0.0108
16011,-0.0654
16041,0.0617
16072,0.0171
16103,0.0042
16132,0.0195
16163,-0.01
16193,0.0505
16224,0.0543
16254,-0.0193
16285,0.0157
16316,-0.0008
16346,0.0023
16377,0.0133
16407,0.0374
16438,0.0158
16469,0.0683
16497,-0.0441
16528,0.0902
16558,0.0195
16589,-0.0007
16619,-0.018
16650,0.0641
16681,0.0438
16711,0.0322
16742,0.0396
16772,0.0116
16803,0.0714
16834,-0.0641
16862,0.048
16893,0.0393
16923,0.0288
16954,-0.037
16984,-0.0239
17015,-0.0674
17046,-0.0997
17076,-0.006
17107,-0.0027
17137,0.0457
17168,0.0255
17199,-0.0077
17227,-0.0149
17258,-0.0363
17288,0.0014
17319,0.0554
17349,0.0381
17380,-0.0203
17411,-0.0111
17441,0.0238
17472,-0.0175
17502,0.0233
17533,-0.0379
17564,-0.0388
17593,0.0793
17624,0.0292
17654,0.0879
17685,0.0054
17715,-0.0508
17746,0.0158
17777,-0.0276
17807,0.071
17838,-0.0961
17868,0.0346
17899,0.0039
17930,-0.0296
17958,0.0328
17989,-0.0179
18019,-0.0258
18050,0.0014
18080,0.065
18111,0.0219
18142,0.0263
18172,0.034
18203,0.0175
18233,0.0486
18264,0.0197
18295,0.0199
18323,0.007
18354,0.0486
18384,0.0509
18415,-0.0548
18445,0.0119
18476,0.0443
18507,0.0592
18537,0.0093
18568,0.0169
18598,0.0513
18629,0.0637
18660,0.0157
18688,-0.0156
18719,0.0509
18749,-0.0299
18780,-0.0228
18810,0.0711
18841,0.0478
18872,0.0013
18902,-0.0103
18933,0.0096
18963,0.0424
18994,0.0181
19025,-0.0282
19054,0.0503
19085,-0.0402
19115,0.0343
19146,0.049
19176,0.0196
19207,-0.0071
19238,-0.0176
19268,0.002
19299,0.0571
19329,0.0382
19360,-0.0049
19391,-0.0106
19419,-0.0212
19450,-0.0237
19480,0.0077
19511,-0.0134
19541,0.0273
19572,-0.0501
19603,0.0034
19633,0.054
19664,0.0204
19694,0.0053
19725,0.0536
19756,0.0111
19784,0.0325
19815,0.0516
19845,0.0418
19876,0.0031
19906,0.0589
19937,-0.0275
19968,0.0851
19998,-0.0167
20029,0.0909
20059,0.0534
20090,0.0197
20121,0.0098
20149,-0.003
20180,0.0396
20210,0.0055
20241,0.0841
20271,0.0621
20302,-0.0025
20333,0.013
20363,-0.0284
20394,0.0827
20424,0.0015
20455,-0.0347
20486,0.0413
20515,0.071
20546,-0.0004
20576,-0.0593
20607,0.0409
20637,0.053
20668,-0.0328
20699,-0.044
20729,0.0066
20760,-0.005
20790,0.037
20821,-0.0401
20852,-0.0264
20880,0.0215
20911,0.0388
20941,0.0437
20972,0.0004
21002,0.0131
21033,-0.0505
21064,-0.0602
21094,-0.0302
21125,0.0231
21155,-0.0395
21186,0.0445
21217,-0.0141
21245,0.0328
21276,0.0337
21306,0.0212
21337,0.0279
21367,0.0449
21398,0.0176
21429,0.0501
21459,0.027
21490,0.0284
21520,0.0535
21551,0.0053
21582,0.0049
21610,0.002
21641,0.0402
21671,0.024
21702,-0.0022
21732,0.0363
21763,-0.0102
21794,-0.0443
21824,0.0128
21855,0.0186
21885,0.0292
21916,-0.07
21947,0.0147
21976,-0.0123
22007,-0.0161
22037,0.0326
22068,0.0211
22098,-0.0234
22129,0.0317
22160,-0.059
22190,-0.0007
22221,0.0465
22251,0.0479
22282,0.0645
22313,0.0319
22341,0.027
22372,0.0051
22402,0.0239
22433,-0.0275
22463,0.0342
22494,0.0243
22525,-0.0184
22555,0.0298
22586,0.0447
22616,0.0046
22647,-0.0366
22678,0.0209
22706,-0.0046
22737,-0.0607
22767,-0.0811
22798,-0.0803
22828,0.0652
22859,0.0208
22890,-0.0465
22920,0.0064
22951,0.1086
22981,0.0153
23012,0.0506
23043,-0.0239
23071,0.037
23102,0.05
23132,0.0193
23163,-0.0188
23193,-0.0022
23224,0.0535
23255,-0.0097
23285,0.0339
23316,-0.0046
23346,0.0262
23377,0.0283
23408,0.0147
23437,0.0165
23468,0.0075
23498,0.0162
23529,0.0178
23559,0.0195
23590,-0.0118
23621,0.0301
23651,0.0096
23682,0.0005
23712,0.0056
23743,0.0345
23774,0.0031
23802,-0.0133
23833,0.0356
23863,-0.003
23894,-0.0473
23924,0.0147
23955,0.0272
23986,0.0334
24016,0.0289
24047,-0.0031
24077,0.0106
24108,0.0062
24139,-0.0131
24167,-0.0205
24198,0.022
24228,-0.0492
24259,-0.0146
24289,-0.012
24320,-0.0725
24351,-0.0053
24381,0.0494
24412,0.0095
24442,0.0002
24473,0.0798
24504,0.0072
24532,0.0409
24563,0.0437
24593,-0.0477
24624,0.019
24654,0.0468
24685,-0.007
24716,0.0342
24746,-0.0276
24777,0.0065
24807,0.0278
24838,-0.0425
24869,-0.0261
24898,0.011
24929,0.0834
24959,0.0161
24990,0.0105
25020,-0.0172
25051,0.0164
25082,0.04
25112,0.0087
25143,0.0531
25173,-0.0402
25204,-0.0068
25235,-0.0426
25263,0.0359
25294,0.0229
25324,0.0026
25355,-0.0542
25385,-0.0587
25416,0.0454
25447,-0.0236
25477,0.0459
25508,-0.0297
25538,-0.0177
25569,-0.0743
25600,0.0586
25628,0.003
25659,-0.0889
25689,-0.0547
25720,-0.0482
25750,0.0752
25781,0.0509
25812,0.0347
25842,-0.0097
25873,0.0536
25903,0.0584
25934,0.0419
25965,0.0141
25993,0.0382
26024,0.0377
26054,-0.0367
26085,0.0021
26115,-0.0399
26146,0.0412
26177,-0.0056
26207,-0.0404
26238,0.0027
26268,0.0877
26299,0.0194
26330,0.0299
26359,0.0072
26390,0.0057
26420,0.0219
26451,-0.0205
26481,0.0036
26512,0.0391
26543,-0.0036
26573,0.0107
26604,0.0505
26634,0.0131
26665,-0.0159
26696,-0.0333
26724,-0.0002
26755,-0.0395
26785,-0.0139
26816,-0.0051
26846,0.0394
26877,-0.0318
26908,0.0415
26938,0.0003
26969,-0.1082
26999,0.0183
27030,-0.0085
27061,0.0019
27089,-0.0217
27120,-0.0373
27150,-0.0272
27181,-0.0129
27211,-0.0759
27242,-0.0828
27273,-0.117
27303,0.1657
27334,-0.0448
27364,-0.0177
27395,0.1251
27426,0.0674
27454,0.0237
27485,0.0493
27515,0.0509
27546,0.0462
27576,-0.0659
27607,-0.0144
27638,-0.0328
27668,0.0637
27699,0.0313
27729,-0.0096
27760,0.1199
27791,-0.0058
27820,0.0326
27851,-0.0099
27881,-0.0073
27912,0.0427
27942,-0.0068
27973,0.0014
28004,0.0247
28034,-0.0206
28065,-0.0009
28095,0.054
28126,-0.0489
28157,-0.0151
28185,-0.0119
28216,0.0014
28246,-0.015
28277,0.0475
28307,-0.0151
28338,-0.0133
28369,0
28399,-0.0415
28430,0.037
28460,0.0048
28491,-0.0596
28522,-0.0161
28550,0.0276
28581,0.087
28611,0.0136
28642,-0.0152
28672,0.056
28703,0.034
28734,-0.0048
28764,-0.0891
28795,0.026
28825,0.0172
28856,0.0421
28887,-0.0284
28915,0.0575
28946,0.0036
28976,-0.0168
29007,0.041
29037,0.0109
29068,0.0611
29099,0.0025
29129,-0.0656
29160,0.0514
29190,0.0192
29221,0.061
29252,0.0031
29281,-0.0987
29312,0.0429
29342,0.0562
29373,0.0296
29403,0.0676
29434,0.0131
29465,0.0281
29495,0.0186
29526,0.1095
29556,-0.0315
29587,-0.0438
29618,0.0208
29646,0.038
29677,-0.0213
29707,0.0062
29738,-0.008
29768,0.0007
29799,-0.0554
29830,-0.0502
29860,0.0528
29891,0.0441
29921,-0.0265
29952,-0.0163
29983,-0.0512
30011,-0.006
30042,0.0414
30072,-0.0288
30103,-0.0174
30133,-0.0215
30164,0.1267
30195,0.011
30225,0.1126
30256,0.0438
30286,0.0173
30317,0.0348
30348,0.026
30376,0.0365
30407,0.0758
30437,-0.0052
30468,0.0382
30498,-0.0313
30529,0.017
30560,0.0136
30590,-0.0134
30621,0.0233
30651,-0.0061
30682,-0.0065
30713,-0.0328
30742,0.0171
30773,0.0069
30803,-0.0534
30834,0.0221
30864,-0.0143
30895,0.1125
30926,0.0002
30956,0.0026
30987,-0.0101
31017,0.0253
31048,0.0768
31079,0.0137
31107,0.0018
31138,-0.0032
31168,0.0615
31199,0.0159
31229,-0.0026
31260,-0.0061
31291,-0.0321
31321,0.0448
31352,0.0716
31382,0.0467
